Id. de cliente,Dirección,Ciudad,Región,Código postal,País,Teléfono,Fax,Nombre de compañía,Nombre del contacto,Cargo del contacto
ALFKI,Obere Str. 57,Berlín,,12209,Alemania,030-0074321,030-0076545,Alfreds Futterkiste,Maria Anders,Representante de ventas
ANATR,Avda. de la Constitución 2222,México D.F.,,05021,México,(5) 555-4729,(5) 555-3745,Ana Trujillo Emparedados y helados,Ana Trujillo,Propietario
ANTON,Mataderos  2312,México D.F.,,05023,México,(5) 555-3932,,Antonio Moreno Taquería,Antonio Moreno,Propietario
AROUT,120 Hanover Sq.,Londres,,WA1 1DP,Reino Unido,(71) 555-7788,(71) 555-6750,Around the Horn,Thomas Hardy,Representante de ventas
BERGS,Berguvsvägen  8,Luleå,,S-958 22,Suecia,0921-12 34 65,0921-12 34 67,Berglunds snabbköp,Christina Berglund,Administrador de pedidos
BLAUS,Forsterstr. 57,Mannheim,,68306,Alemania,0621-08460,0621-08924,Blauer See Delikatessen,Hanna Moos,Representante de ventas
BLONP,24, place Kléber,Estrasburgo,,67000,Francia,88.60.15.31,88.60.15.32,Blondel père et fils,Frédérique Citeaux,Gerente de marketing
BOLID,C/ Araquil, 67,Madrid,,28023,España,(91) 555 22 82,(91) 555 91 99,Bólido Comidas preparadas,Martín Sommer,Propietario
BONAP,12, rue des Bouchers,Marsella,,13008,Francia,91.24.45.40,91.24.45.41,Bon app',Laurence Lebihan,Propietario
BOTTM,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canadá,(604) 555-4729,(604) 555-3745,Bottom-Dollar Markets,Elizabeth Lincoln,Gerente de contabilidad
BSBEV,Fauntleroy Circus,Londres,,EC2 5NT,Reino Unido,(71) 555-1212,,B's Beverages,Victoria Ashworth,Representante de ventas
CACTU,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892,Cactus Comidas para llevar,Patricio Simpson,Agente de ventas
CENTC,Sierras de Granada 9993,México D.F.,,05022,México,(5) 555-3392,(5) 555-7293,Centro comercial Moctezuma,Francisco Chang,Gerente de marketing
CHOPS,Hauptstr. 29,Berna,,3012,Suiza,0452-076545,,Chop-suey Chinese,Yang Wang,Propietario
COMMI,Av. dos Lusíadas, 23,São Paulo,SP,05432-043,Brasil,(11) 555-7647,,Comércio Mineiro,Pedro Afonso,Asistente de ventas
CONSH,"Berkeley Gardens
12  Brewery",Londres,,WX1 6LT,Reino Unido,(71) 555-2282,(71) 555-9199,Consolidated Holdings,Elizabeth Brown,Representante de ventas
WANDK,Adenauerallee 900,Stuttgart,,70563,Alemania,0711-020361,0711-035428,Die Wandernde Kuh,Rita Müller,Representante de ventas
DRACD,Walserweg 21,Aachen,,52066,Alemania,0241-039123,0241-059428,Drachenblut Delikatessen,Sven Ottlieb,Administrador de pedidos
DUMON,67, rue des Cinquante Otages,Nantes,,44000,Francia,40.67.88.88,40.67.89.89,Du monde entier,Janine Labrune,Propietario
EASTC,35 King George,Londres,,WX3 6FW,Reino Unido,(71) 555-0297,(71) 555-3373,Eastern Connection,Ann Devon,Agente de ventas
ALTDE,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 1,ALTAMIRANO DEBORA,Representante de ventas
ANTAL,Intermédanos Sur 776 ,Pinamar,,B7167CAV,Argentina,,,Equipo 1,ANTOGNOLI ALAN,Representante de ventas
BALRO,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 1,BALIANI RODRIGO,Representante de ventas
BONSE,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 1,BONZI SEBASTIAN,Representante de ventas
LORFE,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 1,LORENZO FEDERICO,Representante de ventas
FAVGU,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 2,FAVARA GUIDO,Representante de ventas
FOGTO,Lima 775,Buenos Aires,,C1073AAO,Argentina,,,Equipo 2,FOGLINO TOMAS,Representante de ventas
