Id. de cliente,Nombre de compañía,Nombre del contacto,Cargo del contacto,Dirección,Ciudad,Región,Código postal,País,Teléfono,Fax
ALFKI,Alfreds Futterkiste,Maria Anders,Representante de ventas,Obere Str. 57,Berlín,,12209,Alemania,030-0074321,030-0076545
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Propietario,Avda. de la Constitución 2222,México D.F.,,05021,México,(5) 555-4729,(5) 555-3745
ANTON,Antonio Moreno Taquería,Antonio Moreno,Propietario,Mataderos  2312,México D.F.,,05023,México,(5) 555-3932,
AROUT,Around the Horn,Thomas Hardy,Representante de ventas,120 Hanover Sq.,Londres,,WA1 1DP,Reino Unido,(71) 555-7788,(71) 555-6750
BERGS,Berglunds snabbköp,Christina Berglund,Administrador de pedidos,Berguvsvägen  8,Luleå,,S-958 22,Suecia,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Hanna Moos,Representante de ventas,Forsterstr. 57,Mannheim,,68306,Alemania,0621-08460,0621-08924
BLONP,Blondel père et fils,Frédérique Citeaux,Gerente de marketing,"24, place Kléber",Estrasburgo,,67000,Francia,88.60.15.31,88.60.15.32
BOLID,Bólido Comidas preparadas,Martín Sommer,Propietario,"C/ Araquil, 67",Madrid,,28023,España,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',Laurence Lebihan,Propietario,"12, rue des Bouchers",Marsella,,13008,Francia,91.24.45.40,91.24.45.41
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Gerente de contabilidad,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canadá,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Victoria Ashworth,Representante de ventas,Fauntleroy Circus,Londres,,EC2 5NT,Reino Unido,(71) 555-1212,
CACTU,Cactus Comidas para llevar,Patricio Simpson,Agente de ventas,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892
CENTC,Centro comercial Moctezuma,Francisco Chang,Gerente de marketing,Sierras de Granada 9993,México D.F.,,05022,México,(5) 555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,Yang Wang,Propietario,Hauptstr. 29,Berna,,3012,Suiza,0452-076545,
COMMI,Comércio Mineiro,Pedro Afonso,Asistente de ventas,"Av. dos Lusíadas, 23",São Paulo,SP,05432-043,Brasil,(11) 555-7647,
CONSH,Consolidated Holdings,Elizabeth Brown,Representante de ventas,"Berkeley Gardens
12  Brewery",Londres,,WX1 6LT,Reino Unido,(71) 555-2282,(71) 555-9199
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Administrador de pedidos,Walserweg 21,Aachen,,52066,Alemania,0241-039123,0241-059428
DUMON,Du monde entier,Janine Labrune,Propietario,"67, rue des Cinquante Otages",Nantes,,44000,Francia,40.67.88.88,40.67.89.89
EASTC,Eastern Connection,Ann Devon,Agente de ventas,35 King George,Londres,,WX3 6FW,Reino Unido,(71) 555-0297,(71) 555-3373
ERNSH,Ernst Handel,Roland Mendel,Gerente de ventas,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426
FAMIA,Familia Arquibaldo,Aria Cruz,Asistente de marketing,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brasil,(11) 555-9857,
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Gerente de contabilidad,"C/ Moralzarzal, 86",Madrid,,28034,España,(91) 555 94 44,(91) 555 55 93
FOLIG,Folies gourmandes,Martine Rancé,Asistente de agente de ventas,"184, chaussée de Tournai",Lille,,59000,Francia,20.16.10.16,20.16.10.17
FOLKO,Folk och fä HB,Maria Larsson,Propietario,Åkergatan 24,Bräcke,,S-844 67,Suecia,0695-34 67 21,
FRANK,Frankenversand,Peter Franken,Gerente de marketing,Berliner Platz 43,München,,80805,Alemania,089-0877310,089-0877451
FRANR,France restauration,Carine Schmitt,Gerente de marketing,"54, rue Royale",Nantes,,44000,Francia,40.32.21.21,40.32.21.20
FRANS,Franchi S.p.A.,Paolo Accorti,Representante de ventas,Via Monte Bianco 34,Torino,,10100,Italia,011-4988260,011-4988261
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Gerente de ventas,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
GALED,Galería del gastrónomo,Eduardo Saavedra,Gerente de marketing,"Rambla de Cataluña, 23",Barcelona,,08022,España,(93) 203 4560,(93) 203 4561
GODOS,Godos Cocina Típica,José Pedro Freyre,Gerente de ventas,"C/ Romero, 33",Sevilla,,41101,España,(95) 555 82 82,
GOURL,Gourmet Lanchonetes,André Fonseca,Asistente de ventas,"Av. Brasil, 442",Campinas,SP,04876-786,Brasil,(11) 555-9482,
GREAL,Great Lakes Food Market,Howard Snyder,Gerente de marketing,2732 Baker Blvd.,Eugenia,OR,97403,Estados Unidos,(503) 555-7555,
GROSR,GROSELLA-Restaurante,Manuel Pereira,Propietario,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
HANAR,Hanari Carnes,Mario Pontes,Gerente de contabilidad,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brasil,(21) 555-0091,(21) 555-8765
HILAA,HILARIÓN-Abastos,Carlos Hernández,Representante de ventas,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Representante de ventas,"City Center Plaza
516 Main St.",Elgin,OR,97827,Estados Unidos,(503) 555-6874,(503) 555-2376
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Asistente de ventas,8 Johnstown Road,Cork,Co. Cork,,Irlanda,2967 542,2967 3333
ISLAT,Island Trading,Helen Bennett,Gerente de marketing,"Garden House
Crowther Way",Cowes,Isla de Wight,PO31 7PJ,Reino Unido,(198) 555-8888,
KOENE,Königlich Essen,Philip Cramer,Asistente de ventas,Maubelstr. 90,Brandenburgo,,14776,Alemania,0555-09876,
LACOR,La corne d'abondance,Daniel Tonini,Representante de ventas,"67, avenue de l'Europe",Versalles,,78000,Francia,30.59.84.10,30.59.85.11
LAMAI,La maison d'Asie,Annette Roulet,Gerente de ventas,1 rue Alsace-Lorraine,Toulouse,,31000,Francia,61.77.61.10,61.77.61.11
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Asistente de marketing,1900 Oak St.,Vancouver,BC,V3F 2K1,Canadá,(604) 555-3392,(604) 555-7293
LAZYK,Lazy K Kountry Store,John Steel,Gerente de marketing,12 Orchestra Terrace,Walla Walla,WA,99362,Estados Unidos,(509) 555-7969,(509) 555-6221
LEHMS,Lehmanns Marktstand,Renate Messner,Representante de ventas,Magazinweg 7,Francfurt,,60528,Alemania,069-0245984,069-0245874
LETSS,Let's Stop N Shop,Jaime Yorres,Propietario,"87 Polk St.
Suite 5",San Francisco,CA,94117,Estados Unidos,(415) 555-5938,
LILAS,LILA-Supermercado,Carlos González,Gerente de contabilidad,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
LINOD,LINO-Delicateses,Felipe Izquierdo,Propietario,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
LONEP,Lonesome Pine Restaurant,Fran Wilson,Gerente de ventas,89 Chiaroscuro Rd.,Portland,OR,97219,Estados Unidos,(503) 555-9573,(503) 555-9646
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Gerente de marketing,Via Ludovico il Moro 22,Bérgamo,,24100,Italia,035-640230,035-640231
MAISD,Maison Dewey,Catherine Dewey,Agente de ventas,Rue Joseph-Bens 532,Bruselas,,B-1180,Bélgica,(02) 201 24 67,(02) 201 24 68
